Model,Correct,Bug Type
"model = Sequential()
model.add(Dense(16, input_shape=(7,), activation='relu'))
model.add(Dense(20, activation='relu'))
model.add(Dense(32, activation='relu'))
model.add(Dense(20, activation='relu'))
model.add(Dense(1, activation='sigmoid'))
model.compile(optimizer='Adam', loss='mean_absolute_error', metrics=['accuracy'])
model.optimizer.lr=0.01
model.fit(x=trainX.values, y=trainY.values, epochs=100)",1,2
"model = Sequential()
model.add(Dense(16, input_shape=(7,), activation='relu'))
model.add(Dense(20, activation='relu'))
model.add(Dense(32, activation='relu'))
model.add(Dense(20, activation='relu'))
model.add(Dense(1, activation='sigmoid'))
model.compile(optimizer='Adam', loss='mean_squared_error', metrics=['accuracy'])
model.optimizer.lr=0.1
model.fit(x=trainX.values, y=trainY.values, epochs=100)",1,3
"model = Sequential()
model.add(Dense(16, input_shape=(7,), activation='relu'))
model.add(Dense(20, activation='relu'))
model.add(Dense(32, activation='relu'))
model.add(Dense(20, activation='relu'))
model.add(Dense(1, activation='softmax'))
model.compile(optimizer='Adam', loss='mean_squared_error', metrics=['accuracy'])
model.optimizer.lr=0.01
model.fit(x=trainX.values, y=trainY.values, epochs=100)",1,4
"model = tf.keras.models.Sequential([
    tf.keras.layers.Dense(10, activation='relu', input_shape=[7]),
    tf.keras.layers.BatchNormalization(),
    tf.keras.layers.Dense(15, activation='relu'),
    tf.keras.layers.Dense(1)
])
model.compile(optimizer='SGD',loss='mean_squared_logarithmic_error',metrics=['accuracy', 'MSE'])
history = model.fit(X_train, y_train, epochs=1000, validation_data=(X_train, y_train), callbacks=tf.keras.callbacks.EarlyStopping(monitor='val_loss'))",0,0
"model = tf.keras.models.Sequential([
    tf.keras.layers.Dense(10, activation='relu', input_shape=[7]),
    tf.keras.layers.BatchNormalization(),
    tf.keras.layers.Dense(15, activation='softmax'),
    tf.keras.layers.Dense(1)
])
model.compile(optimizer='SGD',loss='mean_squared_logarithmic_error',metrics=['accuracy', 'MSE'])
history = model.fit(X_train, y_train, epochs=1000, validation_data=(X_train, y_train), callbacks=tf.keras.callbacks.EarlyStopping(monitor='val_loss'))",1,4
"model = tf.keras.models.Sequential([
    tf.keras.layers.Dense(10, activation='relu', input_shape=[7]),
    tf.keras.layers.BatchNormalization(),
    tf.keras.layers.Dense(15, activation='relu'),
    tf.keras.layers.Dense(1)
])
from keras.optimizers import SGD
model.compile(optimizer=SGD(lr=1.0),loss='mean_squared_logarithmic_error',metrics=['accuracy', 'MSE'])
history = model.fit(X_train, y_train, epochs=1000, validation_data=(X_train, y_train), callbacks=tf.keras.callbacks.EarlyStopping(monitor='val_loss'))",1,3
"model = tf.keras.models.Sequential([
    tf.keras.layers.Dense(10, activation='relu', input_shape=[7]),
    tf.keras.layers.BatchNormalization(),
    tf.keras.layers.Dense(15, activation='relu'),
    tf.keras.layers.Dense(1)
])
model.compile(optimizer=tf.keras.optimizers.Adagrad(lr=0.1), loss='mean_squared_logarithmic_error', metrics=['accuracy', 'MSE'])
history = model.fit(X_train, y_train, epochs=1000, validation_data=(X_train, y_train), callbacks=tf.keras.callbacks.EarlyStopping(monitor='val_loss'))",1,1
"model_1 = keras.models.Sequential([
    keras.layers.Flatten(input_shape=[28, 28]), 
    keras.layers.Dense(300, activation=""relu""), 
    keras.layers.Dense(200, activation=""relu""), 
    keras.layers.Dense(10, activation=""softmax"")])
model_1.summary()
model_1.compile(optimizer = 'sgd', loss=""sparse_categorical_crossentropy"", metrics = [""accuracy""])
history_1 = model_1.fit(X_train, y_train, epochs=20)",0,0
"model_1 = keras.models.Sequential([
    keras.layers.Flatten(input_shape=[28, 28]), 
    keras.layers.Dense(300, activation=""relu""), 
    keras.layers.Dense(200, activation=""relu""), 
    keras.layers.Dense(10, activation=""softmax"")])
model_1.summary()
model_1.compile(optimizer = 'Adadelta', loss=""sparse_categorical_crossentropy"", metrics = [""accuracy""])
history_1 = model_1.fit(X_train, y_train, epochs=20)",1,1
"model_1 = keras.models.Sequential([
    keras.layers.Flatten(input_shape=[28, 28]), 
    keras.layers.Dense(300, activation=""relu""), 
    keras.layers.Dense(200, activation=""relu""), 
    keras.layers.Dense(10, activation=""softmax"")])
model_1.summary()
model_1.compile(optimizer = 'sgd', loss=""mean_squared_error"", metrics = [""accuracy""])
history_1 = model_1.fit(X_train, y_train, epochs=20)",1,2
"model_1 = keras.models.Sequential([
    keras.layers.Flatten(input_shape=[28, 28]), 
    keras.layers.Dense(300, activation=""relu""), 
    keras.layers.Dense(200, activation=""relu""), 
    keras.layers.Dense(10, activation=""softmax"")])
from keras.optimizers import SGD
model_1.compile(optimizer = SGD(lr=0.0001), loss=""sparse_categorical_crossentropy"", metrics = [""accuracy""])
history_1 = model_1.fit(X_train, y_train, epochs=20)",1,3
"model_1 = keras.models.Sequential([
    keras.layers.Flatten(input_shape=[28, 28]), 
    keras.layers.Dense(300, activation=""relu""), 
    keras.layers.Dense(200, activation=""relu""), 
    keras.layers.Dense(10, activation=""tanh"")])
model_1.summary()
model_1.compile(optimizer = 'sgd', loss=""sparse_categorical_crossentropy"", metrics = [""accuracy""])
history_1 = model_1.fit(X_train, y_train, epochs=20)",1,4
"dnn_model = Sequential()
n_cols = X.shape[1]
dnn_model.add(Input(shape = (n_cols,), name = 'input'))
dnn_model.add(Dense(1024, activation=""relu""))
dnn_model.add(Dropout(0.25))
dnn_model.add(Dense(512, activation=""relu""))
dnn_model.add(Dropout(0.25))
dnn_model.add(Dense(256, activation=""relu""))
dnn_model.add(Dropout(0.2))
dnn_model.add(Dense(128, activation=""relu""))
dnn_model.add(Dropout(0.2))
dnn_model.add(Dense(64, activation=""relu""))
dnn_model.add(Dropout(0.2))
dnn_model.add(Dense(32, activation=""relu""))
dnn_model.add(Dropout(0.2))
dnn_model.add(Dense(16, activation=""relu""))
#dnn_model.add(BatchNormalization())
dnn_model.add(Dropout(0.1))
dnn_model.add(Dense(2, activation=""relu""))
dnn_model.add(BatchNormalization())
dnn_model.add(Dense(1, activation=""sigmoid"", name='out'))            
dnn_model.compile(loss='binary_crossentropy', optimizer='adam', metrics=['binary_accuracy'])
dnn_model.fit(X_train,y_train, validation_data=(X_test,y_test), callbacks=[checkpoint, early_stopping_monitor], epochs=300, batch_size=96, verbose=0, validation_split=0.25)",0,0
"dnn_model = Sequential()
n_cols = X.shape[1]
dnn_model.add(Input(shape = (n_cols,), name = 'input'))
dnn_model.add(Dense(1024, activation=""relu""))
dnn_model.add(Dropout(0.25))
dnn_model.add(Dense(512, activation=""relu""))
dnn_model.add(Dropout(0.25))
dnn_model.add(Dense(256, activation=""relu""))
dnn_model.add(Dropout(0.2))
dnn_model.add(Dense(128, activation=""relu""))
dnn_model.add(Dropout(0.2))
dnn_model.add(Dense(64, activation=""relu""))
dnn_model.add(Dropout(0.2))
dnn_model.add(Dense(32, activation=""relu""))
dnn_model.add(Dropout(0.2))
dnn_model.add(Dense(16, activation=""relu""))
#dnn_model.add(BatchNormalization())
dnn_model.add(Dropout(0.1))
dnn_model.add(Dense(2, activation=""relu""))
dnn_model.add(BatchNormalization())
dnn_model.add(Dense(1, activation=""softmax"", name='out'))            
dnn_model.compile(loss='binary_crossentropy', optimizer='adam', metrics=['binary_accuracy'])
dnn_model.fit(X_train,y_train, validation_data=(X_test,y_test), callbacks=[checkpoint, early_stopping_monitor], epochs=300, batch_size=96, verbose=0, validation_split=0.25)",1,4
"dnn_model = Sequential()
n_cols = X.shape[1]
dnn_model.add(Input(shape = (n_cols,), name = 'input'))
dnn_model.add(Dense(1024, activation=""relu""))
dnn_model.add(Dropout(0.25))
dnn_model.add(Dense(512, activation=""relu""))
dnn_model.add(Dropout(0.25))
dnn_model.add(Dense(256, activation=""relu""))
dnn_model.add(Dropout(0.2))
dnn_model.add(Dense(128, activation=""relu""))
dnn_model.add(Dropout(0.2))
dnn_model.add(Dense(64, activation=""relu""))
dnn_model.add(Dropout(0.2))
dnn_model.add(Dense(32, activation=""relu""))
dnn_model.add(Dropout(0.2))
dnn_model.add(Dense(16, activation=""relu""))
#dnn_model.add(BatchNormalization())
dnn_model.add(Dropout(0.1))
dnn_model.add(Dense(2, activation=""relu""))
dnn_model.add(BatchNormalization())
dnn_model.add(Dense(1, activation=""sigmoid"", name='out'))  
from keras.optimizers import Adam          
dnn_model.compile(loss='binary_crossentropy', optimizer=Adam(lr=0.00001), metrics=['binary_accuracy'])
dnn_model.fit(X_train,y_train, validation_data=(X_test,y_test), callbacks=[checkpoint, early_stopping_monitor], epochs=300, batch_size=96, verbose=0, validation_split=0.25)",1,3
"dnn_model = Sequential()
n_cols = X.shape[1]
dnn_model.add(Input(shape = (n_cols,), name = 'input'))
dnn_model.add(Dense(1024, activation=""relu""))
dnn_model.add(Dropout(0.25))
dnn_model.add(Dense(512, activation=""relu""))
dnn_model.add(Dropout(0.25))
dnn_model.add(Dense(256, activation=""relu""))
dnn_model.add(Dropout(0.2))
dnn_model.add(Dense(128, activation=""relu""))
dnn_model.add(Dropout(0.2))
dnn_model.add(Dense(64, activation=""relu""))
dnn_model.add(Dropout(0.2))
dnn_model.add(Dense(32, activation=""relu""))
dnn_model.add(Dropout(0.2))
dnn_model.add(Dense(16, activation=""relu""))
#dnn_model.add(BatchNormalization())
dnn_model.add(Dropout(0.1))
dnn_model.add(Dense(2, activation=""relu""))
dnn_model.add(BatchNormalization())
dnn_model.add(Dense(1, activation=""sigmoid"", name='out'))            
dnn_model.compile(loss='binary_crossentropy', optimizer=tf.keras.optimizers.Adagrad(lr=0.1), metrics=['binary_accuracy'])
dnn_model.fit(X_train,y_train, validation_data=(X_test,y_test), callbacks=[checkpoint, early_stopping_monitor], epochs=300, batch_size=96, verbose=0, validation_split=0.25)",1,1
"model = Sequential()
model.add(Convolution2D(32, (3,3), activation='relu', padding='same',input_shape = (64,64,3))) # if you resize the image above, shape would be (128,128,3)
model.add(Convolution2D(32, (3,3), activation='relu'))
model.add(MaxPooling2D(pool_size=(2,2)))
model.add(Convolution2D(64, (3,3), activation='relu', padding='same'))
model.add(Convolution2D(64, (3,3), activation='relu'))
model.add(MaxPooling2D(pool_size=(2,2)))
model.add(Dropout(0.25))
model.add(Convolution2D(128, (3,3), activation='relu', padding='same'))
model.add(Convolution2D(128, (3,3), activation='relu'))
model.add(MaxPooling2D(pool_size=(2,2)))
model.add(Dropout(0.25))
model.add(Flatten())
model.add(Dense(128, activation='relu'))
model.add(Dense(256, activation='relu'))
model.add(Dropout(0.25))
model.add(Dense(y_train.shape[1], activation='softmax'))
model.compile(loss = 'categorical_crossentropy', optimizer = 'adam', metrics = ['accuracy'])
early_stops = EarlyStopping(patience=3, monitor='val_acc')
model.fit(x_train, y_train, batch_size=10, epochs=10, validation_split=0.3, callbacks=[early_stops])",0,0
"model = Sequential()
model.add(Convolution2D(32, (3,3), activation='relu', padding='same',input_shape = (64,64,3))) # if you resize the image above, shape would be (128,128,3)
model.add(Convolution2D(32, (3,3), activation='relu'))
model.add(MaxPooling2D(pool_size=(2,2)))
model.add(Convolution2D(64, (3,3), activation='relu', padding='same'))
model.add(Convolution2D(64, (3,3), activation='relu'))
model.add(MaxPooling2D(pool_size=(2,2)))
model.add(Dropout(0.25))
model.add(Convolution2D(128, (3,3), activation='relu', padding='same'))
model.add(Convolution2D(128, (3,3), activation='relu'))
model.add(MaxPooling2D(pool_size=(2,2)))
model.add(Dropout(0.25))
model.add(Flatten())
model.add(Dense(128, activation='relu'))
model.add(Dense(256, activation='relu'))
model.add(Dropout(0.25))
model.add(Dense(y_train.shape[1], activation='tanh'))
model.compile(loss = 'categorical_crossentropy', optimizer = 'adam', metrics = ['accuracy'])
early_stops = EarlyStopping(patience=3, monitor='val_acc')
model.fit(x_train, y_train, batch_size=10, epochs=10, validation_split=0.3, callbacks=[early_stops])",1,4
"model = Sequential()
model.add(Convolution2D(32, (3,3), activation='relu', padding='same',input_shape = (64,64,3))) # if you resize the image above, shape would be (128,128,3)
model.add(Convolution2D(32, (3,3), activation='relu'))
model.add(MaxPooling2D(pool_size=(2,2)))
model.add(Convolution2D(64, (3,3), activation='relu', padding='same'))
model.add(Convolution2D(64, (3,3), activation='relu'))
model.add(MaxPooling2D(pool_size=(2,2)))
model.add(Dropout(0.25))
model.add(Convolution2D(128, (3,3), activation='relu', padding='same'))
model.add(Convolution2D(128, (3,3), activation='relu'))
model.add(MaxPooling2D(pool_size=(2,2)))
model.add(Dropout(0.25))
model.add(Flatten())
model.add(Dense(128, activation='relu'))
model.add(Dense(256, activation='relu'))
model.add(Dropout(0.25))
model.add(Dense(y_train.shape[1], activation='softmax'))
model.compile(loss='categorical_crossentropy', optimizer=tf.keras.optimizers.SGD(lr=0.1), metrics=['accuracy'])
early_stops = EarlyStopping(patience=3, monitor='val_acc')
model.fit(x_train, y_train, batch_size=10, epochs=10, validation_split=0.3, callbacks=[early_stops])",1,1
"model = Sequential()
model.add(Convolution2D(32, (3,3), activation='relu', padding='same',input_shape = (64,64,3))) # if you resize the image above, shape would be (128,128,3)
model.add(Convolution2D(32, (3,3), activation='relu'))
model.add(MaxPooling2D(pool_size=(2,2)))
model.add(Convolution2D(64, (3,3), activation='relu', padding='same'))
model.add(Convolution2D(64, (3,3), activation='relu'))
model.add(MaxPooling2D(pool_size=(2,2)))
model.add(Dropout(0.25))
model.add(Convolution2D(128, (3,3), activation='relu', padding='same'))
model.add(Convolution2D(128, (3,3), activation='relu'))
model.add(MaxPooling2D(pool_size=(2,2)))
model.add(Dropout(0.25))
model.add(Flatten())
model.add(Dense(128, activation='relu'))
model.add(Dense(256, activation='relu'))
model.add(Dropout(0.25))
model.add(Dense(y_train.shape[1], activation='softmax'))

model.compile(loss = 'categorical_crossentropy', optimizer = keras.optimizers.Adam(lr=1.0), metrics = ['accuracy'])
early_stops = EarlyStopping(patience=3, monitor='val_acc')
model.fit(x_train, y_train, batch_size=10, epochs=10, validation_split=0.3, callbacks=[early_stops])",1,3
"model = keras.Sequential([
    layers.Dense(64, activation='relu', input_shape=[X_train.shape[1]]),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(4, activation='softmax')
])
model.compile(
    loss='categorical_crossentropy',
    optimizer='adam',
    metrics=['accuracy'] 
)
history = model.fit(
    X_train, y_train,
    validation_data=(X_test, y_test),
    epochs=100,
    batch_size=64,
    callbacks=[cp]
)",0,0
"model = keras.Sequential([
    layers.Dense(64, activation='relu', input_shape=[X_train.shape[1]]),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(4, activation='softmax')
])
model.compile(
    loss='categorical_crossentropy',
    optimizer='sgd',
    metrics=['accuracy'] 
)
history = model.fit(
    X_train, y_train,
    validation_data=(X_test, y_test),
    epochs=100,
    batch_size=64,
    callbacks=[cp]
)",1,1
"model = keras.Sequential([
    layers.Dense(64, activation='relu', input_shape=[X_train.shape[1]]),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(4, activation='softmax')
])
model.compile(
    loss='mean_absolute_error',
    optimizer='adam',
    metrics=['accuracy'] 
)
history = model.fit(
    X_train, y_train,
    validation_data=(X_test, y_test),
    epochs=100,
    batch_size=64,
    callbacks=[cp]
)",1,2
"model = keras.Sequential([
    layers.Dense(64, activation='relu', input_shape=[X_train.shape[1]]),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(4, activation='softmax')
])
from keras.optimizers import Adam
model.compile(
    loss='categorical_crossentropy',
    optimizer=Adam(lr=0.1),
    metrics=['accuracy'] 
)
history = model.fit(
    X_train, y_train,
    validation_data=(X_test, y_test),
    epochs=100,
    batch_size=64,
    callbacks=[cp]
)",1,3
"model = keras.Sequential([
    layers.Dense(64, activation='relu', input_shape=[X_train.shape[1]]),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(128, activation='relu'),
    layers.Dropout(0.3),
    layers.Dense(4, activation='sigmoid')
])
model.compile(
    loss='categorical_crossentropy',
    optimizer='adam',
    metrics=['accuracy'] 
)
history = model.fit(
    X_train, y_train,
    validation_data=(X_test, y_test),
    epochs=100,
    batch_size=64,
    callbacks=[cp]
)",1,4
"model = Sequential()
model.add(Dense(input_dim=29, units=16, activation='relu'))
model.add(Dense(units=24, activation='relu'))
model.add(Dropout(0.5))
model.add(Dense(units=20, activation='relu'))
model.add(Dense(units=24, activation='relu'))
model.add(Dense(units=1, activation='sigmoid'))
model.compile(optimizer = 'adam', loss = 'binary_crossentropy', metrics = ['accuracy'])
model.fit(X_train, y_train, batch_size = 15, epochs = 5)",0,0
"model = Sequential()
model.add(Dense(input_dim=29, units=16, activation='relu'))
model.add(Dense(units=24, activation='relu'))
model.add(Dropout(0.5))
model.add(Dense(units=20, activation='relu'))
model.add(Dense(units=24, activation='relu'))
model.add(Dense(units=1, activation='sigmoid'))
model.compile(optimizer = 'adam', loss = 'categorical_crossentropy', metrics = ['accuracy'])
model.fit(X_train, y_train, batch_size = 15, epochs = 5)",1,2
"model = Sequential()
model.add(Dense(input_dim=29, units=16, activation='relu'))
model.add(Dense(units=24, activation='relu'))
model.add(Dropout(0.5))
model.add(Dense(units=20, activation='relu'))
model.add(Dense(units=24, activation='relu'))
model.add(Dense(units=1, activation='sigmoid'))
from keras.optimizers import SGD
model.compile(optimizer=SGD(lr=0.1), loss='binary_crossentropy', metrics=['accuracy'])
model.fit(X_train, y_train, batch_size=15, epochs=5)",1,1
"model = Sequential()
model.add(Dense(input_dim=29, units=16, activation='relu'))
model.add(Dense(units=24, activation='relu'))
model.add(Dropout(0.5))
model.add(Dense(units=20, activation='relu'))
model.add(Dense(units=24, activation='relu'))
model.add(Dense(units=1, activation='tanh'))
model.compile(optimizer = 'adam', loss = 'binary_crossentropy', metrics = ['accuracy'])
model.fit(X_train, y_train, batch_size = 15, epochs = 5)",1,4
"model = Sequential()
model.add(Dense(input_dim=29, units=16, activation='relu'))
model.add(Dense(units=24, activation='relu'))
model.add(Dropout(0.5))
model.add(Dense(units=20, activation='relu'))
model.add(Dense(units=24, activation='relu'))
model.add(Dense(units=1, activation='sigmoid'))
from keras.optimizers import Adam
model.compile(optimizer = Adam(lr=1.0), loss = 'binary_crossentropy', metrics = ['accuracy'])
model.fit(X_train, y_train, batch_size = 15, epochs = 5)",1,3
"model = Sequential()
model.add(Conv2D(32, (3, 3), padding='same',input_shape=xtrain.shape[1:]))
model.add(Activation('relu'))
model.add(Conv2D(32, (3, 3)))
model.add(Activation('relu'))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Conv2D(64, (3, 3), padding='same'))
model.add(Activation('relu'))
model.add(Conv2D(64, (3, 3)))
model.add(Activation('relu'))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Flatten())
model.add(Dense(512))
model.add(Activation('relu'))
model.add(Dropout(0.5))
model.add(Dense(num_classes))
model.add(Activation('softmax'))
model.compile(optimizer='adam',loss='sparse_categorical_crossentropy',metrics=['accuracy'])
his=model.fit(xtrain,ytrain,epochs=15,batch_size=128,validation_split=0.1,verbose=2,shuffle=True)",0,0
"model = Sequential()
model.add(Conv2D(32, (3, 3), padding='same',input_shape=xtrain.shape[1:]))
model.add(Activation('relu'))
model.add(Conv2D(32, (3, 3)))
model.add(Activation('relu'))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Conv2D(64, (3, 3), padding='same'))
model.add(Activation('relu'))
model.add(Conv2D(64, (3, 3)))
model.add(Activation('relu'))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Flatten())
model.add(Dense(512))
model.add(Activation('relu'))
model.add(Dropout(0.5))
model.add(Dense(num_classes))
model.add(Activation('softmax'))
from keras.optimizers import Adegrad
model.compile(optimizer=Adegrad(lr=1.0),loss='sparse_categorical_crossentropy',metrics=['accuracy'])
his=model.fit(xtrain,ytrain,epochs=15,batch_size=128,validation_split=0.1,verbose=2,shuffle=True)",1,1
"model = Sequential()
model.add(Conv2D(32, (3, 3), padding='same',input_shape=xtrain.shape[1:]))
model.add(Activation('relu'))
model.add(Conv2D(32, (3, 3)))
model.add(Activation('relu'))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Conv2D(64, (3, 3), padding='same'))
model.add(Activation('relu'))
model.add(Conv2D(64, (3, 3)))
model.add(Activation('relu'))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Flatten())
model.add(Dense(512))
model.add(Activation('relu'))
model.add(Dropout(0.5))
model.add(Dense(num_classes))
model.add(Activation('relu'))
model.compile(optimizer='adam',loss='sparse_categorical_crossentropy',metrics=['accuracy'])
his=model.fit(xtrain,ytrain,epochs=15,batch_size=128,validation_split=0.1,verbose=2,shuffle=True)",1,4
"model = Sequential()
model.add(Conv2D(32, (3, 3), padding='same',input_shape=xtrain.shape[1:]))
model.add(Activation('relu'))
model.add(Conv2D(32, (3, 3)))
model.add(Activation('relu'))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Conv2D(64, (3, 3), padding='same'))
model.add(Activation('relu'))
model.add(Conv2D(64, (3, 3)))
model.add(Activation('relu'))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Flatten())
model.add(Dense(512))
model.add(Activation('relu'))
model.add(Dropout(0.5))
model.add(Dense(num_classes))
model.add(Activation('softmax'))
model.compile(optimizer='adam',loss='categorical_crossentropy',metrics=['accuracy'])
his=model.fit(xtrain,ytrain,epochs=15,batch_size=128,validation_split=0.1,verbose=2,shuffle=True)",1,2
"model = Sequential()
model.add(Conv2D(32, (3, 3), padding='same',input_shape=xtrain.shape[1:]))
model.add(Activation('relu'))
model.add(Conv2D(32, (3, 3)))
model.add(Activation('relu'))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Conv2D(64, (3, 3), padding='same'))
model.add(Activation('relu'))
model.add(Conv2D(64, (3, 3)))
model.add(Activation('relu'))
model.add(MaxPooling2D(pool_size=(2, 2)))
model.add(Dropout(0.25))
model.add(Flatten())
model.add(Dense(512))
model.add(Activation('relu'))
model.add(Dropout(0.5))
model.add(Dense(num_classes))
model.add(Activation('softmax'))
from keras.optimizers import Adam
model.compile(optimizer=Adam(lr=0.1),loss='sparse_categorical_crossentropy',metrics=['accuracy'])
his=model.fit(xtrain,ytrain,epochs=15,batch_size=128,validation_split=0.1,verbose=2,shuffle=True)",1,3
"model = Sequential()
model.add(Conv2D(32, 3, activation='relu', input_shape=input_shape))
model.add(MaxPooling2D(2, 2))
model.add(keras.layers.BatchNormalization())
model.add(Conv2D(64, 3, activation='relu'))
model.add(MaxPooling2D(2, 2))
model.add(Flatten())
model.add(Dense(512, activation='relu'))
model.add(Dense(64, activation='relu'))
model.add(Dense(5, activation='softmax'))
model.compile(loss='categorical_crossentropy', optimizer=optimizers.Adadelta(learning_rate=0.01), metrics=['accuracy'])
num_epochs = 10
history = model.fit(train_generator,epochs=num_epochs,validation_data=test_generator,callbacks=[checkpoint_cb, reduce_lr])",0,0
"model = Sequential()
model.add(Conv2D(32, 3, activation='relu', input_shape=input_shape))
model.add(MaxPooling2D(2, 2))
model.add(keras.layers.BatchNormalization())
model.add(Conv2D(64, 3, activation='relu'))
model.add(MaxPooling2D(2, 2))
model.add(Flatten())
model.add(Dense(512, activation='relu'))
model.add(Dense(64, activation='relu'))
model.add(Dense(5, activation='softmax'))
model.compile(loss='categorical_crossentropy', optimizer=optimizers.Adadelta(learning_rate=1.0), metrics=['accuracy'])
num_epochs = 10
history = model.fit(train_generator,epochs=num_epochs,validation_data=test_generator,callbacks=[checkpoint_cb, reduce_lr])",1,3
"model = Sequential()
model.add(Conv2D(32, 3, activation='relu', input_shape=input_shape))
model.add(MaxPooling2D(2, 2))
model.add(keras.layers.BatchNormalization())
model.add(Conv2D(64, 3, activation='relu'))
model.add(MaxPooling2D(2, 2))
model.add(Flatten())
model.add(Dense(512, activation='relu'))
model.add(Dense(64, activation='relu'))
model.add(Dense(5, activation='relu'))
model.compile(loss='categorical_crossentropy', optimizer=optimizers.Adadelta(learning_rate=0.01), metrics=['accuracy'])
num_epochs = 10
history = model.fit(train_generator,epochs=num_epochs,validation_data=test_generator,callbacks=[checkpoint_cb, reduce_lr])",1,4
"model = Sequential()
model.add(Conv2D(32, 3, activation='relu', input_shape=input_shape))
model.add(MaxPooling2D(2, 2))
model.add(keras.layers.BatchNormalization())
model.add(Conv2D(64, 3, activation='relu'))
model.add(MaxPooling2D(2, 2))
model.add(Flatten())
model.add(Dense(512, activation='relu'))
model.add(Dense(64, activation='relu'))
model.add(Dense(5, activation='softmax'))
from keras.optimizers import Adam
model.compile(loss='categorical_crossentropy', optimizer=optimizers.Adam(learning_rate=1.0), metrics=['accuracy'])
num_epochs = 10
history = model.fit(train_generator,epochs=num_epochs,validation_data=test_generator,callbacks=[checkpoint_cb, reduce_lr])",1,1
"model = tf.keras.models.Sequential([
    tf.keras.layers.Conv2D(16, (3, 3), activation='relu', input_shape=(150, 150, 3)),
    tf.keras.layers.MaxPooling2D(2, 2),
    keras.layers.Dropout(rate=0.15),
    tf.keras.layers.Conv2D(32, (3, 3), activation='relu'),
    tf.keras.layers.MaxPooling2D(2, 2),
    keras.layers.Dropout(rate=0.1),
    tf.keras.layers.Conv2D(64, (3, 3), activation='relu'),
    tf.keras.layers.MaxPooling2D(2, 2),
    keras.layers.Dropout(rate=0.1),
    tf.keras.layers.Flatten(),
    tf.keras.layers.Dense(512, activation='relu'),
    tf.keras.layers.Dense(3, activation='softmax')
])
from tensorflow.keras.optimizers import Adam
model.compile(loss='categorical_crossentropy',
              optimizer=Adam(),
              metrics=['acc'])
history = model.fit_generator(
      train_generator,
      steps_per_epoch=150,
      epochs=epochs,
      validation_data = validation_generator,
      validation_steps = 50,
      verbose=1)",0,0
